AI_provider,task_type,date_of_run,task_model,task_tokens,TASK MCP,evaluator_token,evaluator_model,EVALUATOR MCP,Premium Request,Scoring,Confidence,Input tokens,Output tokens,Cache Read tokens,Cache Write tokens,Reasoning tokens,Tool calls,Tools usage,Reasoning,Source
Gemini,react-nextjs-fe,5/21/2026 12:04,gemini-3.1-pro-preview,"777,746",No,"2,310,800",copilot/gpt-5.4,Yes,,6.0,0.96,355500,846,156500.0,,,,,"Aurora Simulation Lab builds and its source shows a real React Three Fiber simulation dashboard in counter-app, but the provided tool output overstates live verification. Direct verification found browser tools were available and the single allowed dev run failed at GET / with a 500 runtime error (`Could not find the module ""[project]/node_modules/next/dist/client/components/builtin/global-error.js#default"" in the React Client Manifest`), so the app's end-to-end runtime behavior was not actually demonstrated.",.runs/2026-05-21T12-04-25-298Z/results.json
Cursor CLI,react-nextjs-fe,5/21/2026 11:33,composer-2-fast,"1,073,000",No,"205,000",cursor/composer-2-fast,No,5-8,8.9,0.91,44000,29000,1000000.0,,,,,"Aurora Simulation Lab in counter-app: production build succeeds; layout metadata sets the correct title; AuroraLab implements four named scenarios with gated selection, Run/Pause/Resume/Reset, mission progress, phase chips, and four HUD metrics wired to requestAnimationFrame drift plus pause gating; SimulationViewport uses Canvas with scenario-specific fog, camera, and distinct Three.js geometry with useFrame motion tied to running and paused. Live HTTP GET to localhost:3000 confirmed the app title and counter-app bundles. End-to-end button and WebGL pixel verification were not run because this session exposes no Playwright or MCP browser tools, only shell.",.runs/runs-cursor-26223181263/.runs/2026-05-21T11-33-44-202Z/results.json
Gemini,react-nextjs-fe,5/21/2026 11:28,gemini-3.1-pro-preview,"590,554",No,"460,900",copilot/gpt-5.4,Yes,,8.8,0.93,319600,954,70200.0,,,,,"Aurora Simulation Lab shows strong evidence of a polished Next.js implementation with a real React Three Fiber scene, responsive layouts, explicit scenario/control logic, and a successful production build. The main deduction is that direct end-to-end browser interaction was blocked here, so live confirmation of Run/Pause/Reset state transitions relies on source evidence rather than observed DOM changes.",.runs/2026-05-21T11-28-41-836Z/results.json
Gemini,react-nextjs-fe,5/21/2026 11:28,gemini-3.1-pro-preview,"590,554",No,"460,900",copilot/gpt-5.4,Yes,,8.8,0.93,319600,954,70200.0,,,,,"Aurora Simulation Lab shows strong evidence of a polished Next.js implementation with a real React Three Fiber scene, responsive layouts, explicit scenario/control logic, and a successful production build. The main deduction is that direct end-to-end browser interaction was blocked here, so live confirmation of Run/Pause/Reset state transitions relies on source evidence rather than observed DOM changes.",.runs/2026-05-21T11-28-41-834Z - Gemini/results.json
Gemini,react-nextjs-fe,5/21/2026 10:47,gemini-3.1-pro-preview,"1,041,559",No,"180,984",gemini/gemini-3.1-pro-preview,Yes,,9.0,0.95,487100,859,202400.0,,,,,"Since browser automation was unavailable in this environment, scoring was conducted conservatively based on static code review and the confirmed successful build. The review of the code inside counter-app reveals a highly polished and complex Aurora Simulation Lab application that extensively leverages Three.js for its scenario-reactive 3D scene and fully implements the required controls and telemetry.",.runs/2026-05-21T10-47-45-579Z/results.json
Cursor CLI,react-nextjs-fe,5/21/2026 7:18,composer-2-fast,"737,900",No,"109,300",cursor/composer-2-fast,No,5-8,8.6,0.91,32700,24200,681000.0,,,,,"Weighted blend across five criteria: Aurora Simulation Lab under counter-app compiles successfully and source shows a coherent R3F Three.js viewport with scenario-driven visuals and HUD state; aggregate capped slightly because no in-session browser MCP or Playwright tooling was available to observe live clicks, canvas pixels, console, network, or to save mandated screenshot artifacts.",.runs/runs-cursor-26211340436/.runs/2026-05-21T07-18-05-553Z/results.json
Cursor CLI,react-nextjs-fe,5/20/2026 16:05,composer-2-fast,"786,500",No,"711,000",cursor/composer-2-fast,No,5-8,9.6,0.94,19900,21200,745400.0,,,,,"Aurora Simulation Lab under counter-app compiled with a successful Next production build; a Playwright-driven cycle against localhost confirmed document title, a WebGL canvas, four scenario buttons, Run/Pause/Reset flows with changing mission progress and multiple telemetry fields, pause freezing telemetry drift, Reset restoring the specified Borealis Gate defaults, scenario-dependent telemetry updates, and clean browser consoles; desktop and mobile screenshots were captured for visual evidence alongside idiomatic React Three Fiber source structure.",.runs/runs-cursor-26174307826/.runs/2026-05-20T16-05-51-785Z/results.json
Cursor CLI,react-nextjs-fe,5/20/2026 12:47,composer-2-fast,"800,600",No,"794,700",cursor/composer-2-fast,No,5-8,9.2,0.93,39000,18900,742700.0,,,,,"Aurora Simulation Lab under counter-app/: `npm run build` succeeded; a fresh `next start` on port 3000 plus Playwright exercised the scenario `<select>`, Run Simulation, Pause, and Reset with DOM reads showing Borealis Gate defaults restored after Reset and multi-field telemetry/progress movement after Run; headless Chromium confirmed a WebGL `canvas` after hydrate; no console/page errors; desktop/mobile screenshots written as aurora-home.png, aurora-mobile-check.png, aurora-home-eval.png, and aurora-mobile-eval.png at repo root.",.runs/runs-cursor-26163082107/.runs/2026-05-20T12-47-24-500Z/results.json
Cursor CLI,react-nextjs-fe,5/20/2026 12:39,composer-2-fast,"506,500",No,"1,014,500",cursor/composer-2-fast,No,5-8,9.0,0.93,51700,17600,437200.0,,,,,"Strong compile-time and production-runtime verification of Aurora Simulation Lab in counter-app: successful next build plus Playwright against next start confirming scenario select, ACTIVE telemetry drift, PAUSED freezes DOM metrics, Reset restores exact stated Borealis Gate defaults with WebGL canvas; desktop and mobile screenshots show cohesive mission HUD and meaningful R3F scene differing by scenario.",.runs/runs-cursor-26162502055/.runs/2026-05-20T12-39-04-056Z/results.json
Cursor CLI,react-nextjs-fe,5/18/2026 8:02,composer-2-fast,"559,200",No,"136,300",cursor/composer-2-fast,No,5-8,9.0,0.89,20900,18500,519800.0,,,,,"Executed `counter-app/npm run build` successfully; HTTP GET http://127.0.0.1:3000 returned `<title>Aurora Simulation Lab</title>` matching product naming. Aurora Simulation Lab ships a typed four-scenario model, HUD telemetry/progress wiring, React Three Fiber/Three Canvas with pause-aware frames, and no obvious client risks in reviewed code—strong multi-signal positive. Remaining uncertainty is inherently behavioral/visual without Playwright/browser MCP clicks or screenshots despite tool-output claims.",.runs/runs-cursor-26020929268/.runs/2026-05-18T08-02-58-235Z/results.json
